,away_goal_a_1,away_goal_half_a_1,away_red_a_1,away_team_a_1,away_yellow_a_1,date_a_1,flag_a_1,footGoal_away_a_1,footGoal_away_half_a_1,footGoal_bet_a_1,footGoal_home_a_1,footGoal_home_half_a_1,goals_bet_a_1,home_goal_a_1,home_goal_half_a_1,home_red_a_1,home_team_a_1,home_yellow_a_1,id_a_1,main_bet_a_1,match_a_1,l_home_goal,l_away_goal,l_home_yellow,l_home_red,l_away_yellow,l_away_red,l_flag,l_net_goal,l_net_yellow,l_date,l_diff_time
1512,3,2,0,埃弗顿,2,14/10/26,1,4,0,11.0,5,4,2.5,1,1,0,伯恩利,4,1513,0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1281,1,1,0,埃弗顿,1,15/04/18,0,5,2,10.5,6,2,2.25,0,0,1,伯恩利,3,1282,-0.75,英超,0.3333333333333333,1.0,1.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.49996250281228916,0.3333166674999583,0,58.0
765,1,0,0,埃弗顿,2,16/10/22,1,8,3,10.5,2,1,2.25,2,1,0,伯恩利,2,766,0.75,英超,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-0.9997000899730081,0.49996250281228916,0,426.6666666666667
530,3,0,0,埃弗顿,2,17/04/15,0,6,4,11.0,7,4,2.5,1,0,0,伯恩利,0,531,-1.0,英超,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.33330000333300003,0.0,14/10/26,601.6666666666666
400,0,0,0,埃弗顿,2,17/10/01,0,9,3,11.0,3,3,2.25,1,1,0,伯恩利,2,401,-0.75,英超,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,-0.49996250281228916,-0.9998500224966255,15/04/18,470.0
188,1,1,1,埃弗顿,1,18/03/03,1,4,1,10.0,10,3,1.75,2,0,0,伯恩利,1,189,-0.25,英超,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.9997000899730081,0.0,16/10/22,324.0
1457,2,0,1,女王公园巡游者,2,14/12/06,0,3,1,11.0,11,8,2.5,0,0,0,伯恩利,1,1458,-0.5,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1392,1,1,0,女王公园巡游者,2,15/01/10,1,5,3,10.5,10,3,2.25,2,2,0,伯恩利,2,1393,-0.5,英超,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,-0.9998500224966255,-0.33330000333300003,0,11.666666666666666
61,4,3,0,富勒姆,2,18/08/26,0,6,2,10.0,4,2,2.25,2,2,0,伯恩利,1,62,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
294,0,0,0,布莱顿,4,17/12/16,0,8,4,10.5,2,1,1.75,0,0,0,伯恩利,2,295,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
119,0,0,0,布莱顿,2,18/04/28,1,4,2,10.5,3,3,2.0,0,0,0,伯恩利,0,120,-0.25,英超,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.0,-0.3333166674999583,0,44.333333333333336
1436,2,2,0,托特纳姆热刺,1,14/12/20,0,8,2,11.5,5,2,2.75,1,1,0,伯恩利,0,1437,-1.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1296,0,0,0,托特纳姆热刺,0,15/04/05,1,3,2,10.5,5,1,2.5,0,0,0,伯恩利,2,1297,0.25,英超,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,-0.33330000333300003,-0.9997000899730081,0,35.333333333333336
680,2,1,0,托特纳姆热刺,1,16/12/19,0,11,7,11.5,2,1,3.0,1,1,0,伯恩利,2,681,-1.75,英超,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.9998500224966255,0,451.3333333333333
561,2,0,0,托特纳姆热刺,0,17/04/01,1,7,4,10.5,3,2,2.25,0,0,0,伯恩利,2,562,0.75,英超,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,-0.33330000333300003,0.33330000333300003,14/12/20,554.3333333333334
440,1,0,0,托特纳姆热刺,0,17/08/27,0,10,6,11.5,7,5,3.0,1,0,0,伯恩利,0,441,-2.0,英超,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,-0.9998500224966255,0.9998500224966255,15/04/05,424.6666666666667
280,3,1,0,托特纳姆热刺,2,17/12/24,1,4,2,10.5,4,3,2.5,0,0,0,伯恩利,1,281,1.0,英超,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16/12/19,252.0
1486,1,1,0,斯托克城,2,14/11/22,0,12,5,10.5,0,0,2.25,2,2,0,伯恩利,2,1487,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1243,0,0,0,斯托克城,2,15/05/16,1,6,2,10.5,7,3,2.25,0,0,0,伯恩利,1,1244,0.0,英超,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.33330000333300003,0.0,0,58.333333333333336
716,2,2,0,斯托克城,3,16/12/03,0,4,3,11.0,9,3,2.5,0,0,0,伯恩利,2,717,-1.0,英超,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,-0.33330000333300003,0,436.3333333333333
553,0,0,0,斯托克城,2,17/04/05,1,5,2,10.5,3,1,2.0,1,0,0,伯恩利,3,554,-0.25,英超,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,-0.9998500224966255,-0.19998800071995684,14/11/22,559.3333333333334
308,0,0,0,斯托克城,0,17/12/13,1,4,3,10.5,6,4,2.25,1,0,0,伯恩利,0,309,-0.25,英超,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.9997000899730081,0.19998800071995684,15/05/16,523.0
127,1,1,0,斯托克城,2,18/04/22,0,3,1,10.5,8,2,2.25,1,0,0,伯恩利,1,128,-0.25,英超,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.9997000899730081,0.0,16/12/03,339.0
1583,1,1,0,斯旺西,2,14/08/23,0,2,1,10.5,3,1,2.5,0,0,0,伯恩利,1,1584,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1336,1,1,0,斯旺西,0,15/02/28,1,4,4,10.0,6,6,2.25,0,0,0,伯恩利,0,1337,-0.25,英超,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,-0.9997000899730081,-0.33330000333300003,0,63.0
845,1,0,0,斯旺西,2,16/08/13,1,4,3,10.0,7,3,2.0,0,0,0,伯恩利,3,846,0.0,英超,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,-0.9997000899730081,0.0,0,417.6666666666667
588,3,1,0,斯旺西,2,17/03/04,0,9,4,10.0,2,2,2.25,2,1,0,伯恩利,2,589,-0.5,英超,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.9997000899730081,0.19998800071995684,14/08/23,620.6666666666666
352,0,0,0,斯旺西,1,17/11/18,1,6,3,10.0,8,4,2.0,2,2,0,伯恩利,1,353,-0.25,英超,0.6666666666666666,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,-0.19998800071995684,0.0,15/02/28,571.6666666666666
207,1,0,0,斯旺西,2,18/02/10,0,5,2,10.0,2,1,2.0,0,0,0,伯恩利,1,208,-0.25,英超,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9998500224966255,0.0,16/08/13,324.3333333333333
1414,2,2,0,曼城,3,14/12/28,0,10,7,11.5,3,1,3.25,2,0,0,伯恩利,1,1415,-1.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
728,2,1,0,曼城,3,16/11/26,1,8,5,10.5,5,3,3.25,1,1,0,伯恩利,2,729,2.0,英超,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,-0.49996250281228916,0,233.0
657,2,0,1,曼城,4,17/01/02,0,8,4,11.5,8,2,3.25,1,0,0,伯恩利,3,658,-2.0,英超,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,-0.33330000333300003,-0.19998800071995684,0,257.6666666666667
382,3,1,0,曼城,2,17/10/21,0,4,2,11.5,5,1,4.0,0,0,0,伯恩利,3,383,-2.5,英超,0.3333333333333333,0.6666666666666666,1.0,0.0,1.3333333333333333,0.3333333333333333,0.0,-0.33330000333300003,-0.14285102067054267,14/12/28,549.6666666666666
218,1,1,0,曼城,1,18/02/03,1,13,4,10.5,3,2,2.75,1,0,0,伯恩利,4,219,1.5,英超,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,-0.9999000099990001,0.19998800071995684,16/11/26,312.0
4,5,1,0,曼城,2,18/10/20,0,10,5,11.0,1,0,4.0,0,0,0,伯恩利,2,5,-2.75,英超,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5999640021598704,17/01/02,426.3333333333333
1574,0,0,0,曼联,2,14/08/30,1,6,1,11.0,3,2,2.5,0,0,0,伯恩利,2,1575,1.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1353,3,2,0,曼联,4,15/02/12,0,5,3,10.5,8,5,2.75,1,1,0,伯恩利,3,1354,-1.5,英超,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0,55.333333333333336
755,0,0,1,曼联,2,16/10/29,0,19,10,11.0,1,1,2.75,0,0,0,伯恩利,3,756,-1.75,英超,0.3333333333333333,1.0,1.0,0.0,1.3333333333333333,0.0,0.0,-0.49996250281228916,-0.14285102067054267,0,472.0
521,2,2,0,曼联,1,17/04/23,1,3,2,9.5,3,2,2.0,0,0,0,伯恩利,2,522,0.75,英超,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.19998800071995684,14/08/30,648.0
272,2,0,0,曼联,3,17/12/26,0,12,7,11.0,2,1,2.75,2,2,0,伯恩利,7,273,-1.75,英超,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,-0.9998500224966255,0.33330000333300003,15/02/12,572.6666666666666
232,1,0,0,曼联,3,18/01/20,1,4,2,10.0,5,1,2.25,0,0,0,伯恩利,3,233,1.0,英超,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.0,1.0,0.0,0.0,0.0,0.3999880003599892,16/10/29,248.33333333333334
50,2,2,1,曼联,3,18/09/02,1,5,0,10.0,2,0,2.5,0,0,0,伯恩利,2,51,1.0,英超,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.3333333333333333,-0.9997000899730081,0.0,17/04/23,324.0
1553,0,0,0,桑德兰,2,14/09/20,1,1,0,10.5,5,1,2.25,0,0,0,伯恩利,1,1554,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1376,2,2,0,桑德兰,2,15/01/31,0,6,1,11.0,3,0,2.25,0,0,0,伯恩利,0,1377,-0.25,英超,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,-0.33330000333300003,0,44.333333333333336
664,1,0,0,桑德兰,1,16/12/31,1,2,0,10.5,6,0,2.5,4,1,0,伯恩利,1,665,-0.25,英超,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,-0.9998500224966255,-0.9998500224966255,0,511.0
570,0,0,0,桑德兰,3,17/03/18,0,3,1,10.0,5,3,2.25,0,0,0,伯恩利,1,571,0.0,英超,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5999640021598704,0.0,14/09/20,588.0
1560,0,0,0,水晶宫,2,14/09/13,0,5,3,10.5,6,3,2.25,0,0,0,伯恩利,2,1561,-0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1384,3,1,0,水晶宫,3,15/01/17,1,7,4,11.0,5,3,2.25,2,2,0,伯恩利,1,1385,-0.25,英超,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,42.0
747,2,0,0,水晶宫,2,16/11/05,1,7,4,11.0,4,2,2.25,3,2,0,伯恩利,1,748,0.25,英超,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,-0.19998800071995684,-0.49996250281228916,0,480.6666666666667
510,0,0,0,水晶宫,2,17/04/30,0,14,7,11.5,4,3,2.25,2,1,0,伯恩利,0,511,-0.75,英超,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.19998800071995684,-0.33330000333300003,14/09/13,656.6666666666666
431,0,0,0,水晶宫,1,17/09/10,1,13,7,10.5,3,2,2.25,1,1,0,伯恩利,1,432,-0.25,英超,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.9998500224966255,-0.9998500224966255,15/01/17,469.6666666666667
245,1,1,0,水晶宫,0,18/01/13,0,3,2,11.0,2,1,2.0,0,0,0,伯恩利,3,246,-0.25,英超,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9997000899730081,0.0,16/11/05,272.3333333333333
789,0,0,0,沃特福德,3,16/09/27,1,6,1,10.5,7,5,2.0,2,1,0,伯恩利,1,790,0.25,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
615,2,2,0,沃特福德,5,17/02/04,0,3,2,10.0,6,1,2.0,1,0,1,伯恩利,0,616,-0.25,英超,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.9998500224966255,-0.49996250281228916,0,43.333333333333336
315,0,0,1,沃特福德,0,17/12/09,1,5,3,10.5,3,1,2.25,1,1,0,伯恩利,1,316,0.0,英超,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.6666666666666667,0.0,0.0,-0.33330000333300003,-0.999940003599784,0,248.66666666666666
149,1,0,0,沃特福德,2,18/04/07,0,11,7,10.5,1,0,2.0,2,0,0,伯恩利,2,150,-0.25,英超,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.9997000899730081,0.9997000899730081,16/09/27,367.6666666666667
72,3,1,0,沃特福德,2,18/08/19,1,2,0,10.0,5,5,2.0,1,1,0,伯恩利,1,73,-0.25,英超,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.33330000333300003,0.0,17/02/04,316.0
673,0,0,0,米德尔斯堡,5,16/12/26,1,3,0,9.5,7,2,2.0,1,0,0,伯恩利,6,674,0.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
544,0,0,0,米德尔斯堡,0,17/04/08,0,4,1,10.5,3,1,2.0,0,0,0,伯恩利,3,545,0.0,英超,0.3333333333333333,0.0,2.0,0.0,1.6666666666666667,0.0,0.3333333333333333,0.9997000899730081,0.09090661163786438,0,34.333333333333336
1466,1,0,0,纽卡斯尔,2,14/12/03,1,5,2,10.5,2,1,2.25,1,1,0,伯恩利,2,1467,0.0,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1406,3,2,0,纽卡斯尔,2,15/01/01,0,5,5,11.0,5,0,2.5,3,1,0,伯恩利,4,1407,-0.5,英超,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0,9.666666666666666
369,0,0,0,纽卡斯尔,0,17/10/31,1,3,1,10.5,5,4,2.0,1,0,0,伯恩利,3,370,0.25,英超,1.0,1.0,1.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333166674999583,0,699.0
222,1,0,0,纽卡斯尔,1,18/02/01,0,7,4,10.5,4,1,2.0,1,0,0,伯恩利,2,223,-0.25,英超,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.9997000899730081,0.9999000099990001,14/12/03,792.0
1534,2,2,0,莱斯特,2,14/10/04,0,9,5,10.5,3,2,2.5,2,1,0,伯恩利,2,1535,-0.75,英超,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1269,1,0,0,莱斯特,0,15/04/25,1,4,3,10.5,6,1,2.5,0,0,0,伯恩利,4,1270,0.0,英超,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,67.66666666666667
807,3,1,0,莱斯特,0,16/09/17,0,7,3,10.5,1,1,2.5,0,0,0,伯恩利,1,808,-1.25,英超,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333,-0.9997000899730081,0.9999250056245782,0,408.3333333333333
