,id,match,date,home_red,home_yellow,home_team,home_goal,away_goal,away_team,away_yellow,away_red,home_goal_half,away_goal_half,main_bet,goals_bet,footGoal_bet,footGoal_home_half,footGoal_home,footGoal_away_half,footGoal_away,flag,f_home_goal_all_h_3,f_away_goal_all_h_3,f_home_yellow_all_h_3,f_home_red_all_h_3,f_away_yellow_all_h_3,f_away_red_all_h_3,f_flag_all_h_3,f_net_goal_all_h_3,f_net_yellow_all_h_3,f_date_all_h_3,f_diff_time_all_h_3
871,872,英超,16/05/07,0,2,伯恩茅斯,1,1,西布朗维奇,1,0,0,1,-0.5,2.5,10.5,2,5,3,3,1,0.6666666666666666,3.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,-0.6666500004166563,0.0,16/04/02,23.0
841,842,英超,16/08/14,0,0,伯恩茅斯,1,3,曼联,1,0,0,1,0.75,2.25,10.5,0,4,2,2,1,1.0,2.3333333333333335,1.0,0.0,0.3333333333333333,0.0,1.0,-0.3999880003599892,0.49996250281228916,16/04/17,110.33333333333333
817,818,英超,16/09/10,0,1,伯恩茅斯,1,0,西布朗维奇,3,0,0,0,-0.5,2.25,10.5,8,10,2,5,1,1.0,2.6666666666666665,1.0,0.0,0.6666666666666666,0.0,1.0,-0.45453305818932205,0.19998800071995684,16/04/23,97.66666666666667
797,798,英超,16/09/24,0,2,伯恩茅斯,1,0,埃弗顿,2,0,1,0,0.25,2.5,11.0,4,5,2,3,1,1.0,1.3333333333333333,1.0,0.0,1.6666666666666667,0.0,1.0,-0.14285102067054267,-0.24999062535154928,16/05/07,65.0
777,778,英超,16/10/15,0,0,伯恩茅斯,6,1,赫尔,3,0,3,1,-0.75,2.5,10.5,1,5,1,4,1,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,-0.3333222225925802,16/08/14,39.333333333333336
768,769,英超,16/10/22,0,2,伯恩茅斯,0,0,托特纳姆热刺,4,0,0,0,0.5,2.75,10.5,5,7,2,4,1,2.6666666666666665,0.3333333333333333,1.0,0.0,2.6666666666666665,0.0,1.0,0.7777518527160204,-0.45453305818932205,16/09/10,25.666666666666668
748,749,英超,16/11/05,0,3,伯恩茅斯,1,2,桑德兰,3,1,1,1,-1.0,2.75,10.0,2,12,1,2,1,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.0,3.0,0.0,1.0,0.7499718760546478,-0.38460650908055977,16/09/24,25.666666666666668
711,712,英超,16/12/04,0,2,伯恩茅斯,4,3,利物浦,2,0,0,2,0.75,2.75,10.5,1,4,6,9,1,2.3333333333333335,1.0,1.6666666666666667,0.0,3.3333333333333335,0.3333333333333333,1.0,0.3999880003599892,-0.33332666679999734,16/10/15,40.666666666666664
698,699,英超,16/12/14,0,0,伯恩茅斯,1,0,莱斯特,3,0,1,0,-0.25,2.5,10.5,3,4,4,11,1,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.0,3.0,0.3333333333333333,1.0,0.0,-0.12499765629394445,16/10/22,34.0
682,683,英超,16/12/18,0,0,伯恩茅斯,1,3,南安普顿,3,0,1,1,0.0,2.25,10.5,5,7,1,4,1,2.0,1.6666666666666667,1.6666666666666667,0.0,2.6666666666666665,0.3333333333333333,1.0,0.09090661163786438,-0.23076390544833578,16/11/05,20.333333333333332
